Id;Label;rank;Cluster;kingdom;phylum;class;order;family
104597471;Candidatus Koribacter;GENUS;47;Bacteria;Actinobacteria;Acidimicrobiia;Acidobacteriales;Acidobacteriaceae
1047;Pleosporales;ORDER;31;Fungi;Ascomycota;Dothideomycetes;Pleosporales;
1048;Lecanorales;ORDER;31;Fungi;Ascomycota;Lecanoromycetes;Lecanorales;
105096977;Monogononta;ORDER;29;Animalia;Rotifera;Monogononta;;
105098238;Ichthyophonida;ORDER;29;Protozoa;??;Ichthyosporea;Ichthyophonida;
105100345;Longamoebia;ORDER;29;Protozoa;Amoebozoa;??;Longamoebia;
105135905;Hyphochytriomycetes;CLASS;29;Chromista;??;Hyphochytriomycetes;;
105138682;Oikomonadaceae;FAMILY;29;Protozoa;Sarcomastigophora;Zoomastigophora;??;Oikomonadaceae
105144602;Pythiales;ORDER;29;Chromista;??;Oomycetes;Pythiales;
1052;Helotiales;ORDER;31;Fungi;Ascomycota;Leotiomycetes;Helotiales;
1056;Orbiliales;ORDER;31;Fungi;Ascomycota;Orbiliomycetes;Orbiliales;
1057;Pezizales;ORDER;31;Fungi;Ascomycota;Pezizomycetes;Pezizales;
1059;Microascales;ORDER;31;Fungi;Ascomycota;Sordariomycetes;Microascales;
1060;Rhizophlyctidales;ORDER;31;Fungi;Chytridiomycota;Chytridiomycetes;Rhizophlyctidales;
1063;Boletales;ORDER;31;Fungi;Basidiomycota;Agaricomycetes;Boletales;
1064;Geastrales;ORDER;31;Fungi;Basidiomycota;Agaricomycetes;Geastrales;
1109;Mesostigmata;ORDER;37;Animalia;Arthropoda;Arachnida;Mesostigmata;
111;Proteobacteria;PHYLUM;45;Bacteria;Proteobacteria;;;
1111;Protosteliales;ORDER;29;Protozoa;Mycetozoa;Protosteliomycetes;Protosteliales;
1116;Plasmodiophorida;ORDER;29;Chromista;Cercozoa;Phytomyxea;Plasmodiophorida;
1117;Rhizophydiales;ORDER;31;Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales;
1118;Chytridiales;ORDER;31;Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;
1119;Blastocladiales;ORDER;31;Fungi;Chytridiomycota;Blastocladiomycetes;Blastocladiales;
1121;Ustilaginales;ORDER;31;Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;
1123;Tremellales;ORDER;31;Fungi;Basidiomycota;Tremellomycetes;Tremellales;
