gbif_key;rank;scientificName;Length_min_mm;Length_max_mm;reference;remark;;
2130185;SPECIES;Tetranychus urticae;0.3;0.5;https://www7.inra.fr/hyppz/RAVAGEUR/3teturt.htm;;;
1446543;GENUS;Tipula;3;4;https://www7.inra.fr/hyppz/RAVAGEUR/6tippal.htm;larvae;;
4308843;SPECIES;Agriotes sordidus;8;10.5;Leseigneur (1972) faune de France;;;
7477764;SPECIES;Hemiamphisiella terricola;0.17;0.24;Monograph of the Amphisiellidae and Trachelostylidae (Ciliophora, Hypotricha);;;
8165311;SPECIES;Gonostomum namibiense;0.08;0.11;Monograph of the Gonostomatidae and Kahliellidae (Ciliophora, Hypotricha);;;
8212596;SPECIES;Gonostomum strenuum;0.08;0.11;Monograph of the Gonostomatidae and Kahliellidae (Ciliophora, Hypotricha);;;
8423927;SPECIES;Epispathidium terricola;0.09;0.09;Monograph of the Spathidiida (Ciliophora, Haptoria):;;;
8387843;GENUS;Epispathidium;0.06;0.4;Monograph of the Spathidiida (Ciliophora, Haptoria):;;;
8246938;SPECIES;Cultellothrix coemeterii;0.095;0.095;Monograph of the Spathidiida (Ciliophora, Haptoria): ;;;
8084084;SPECIES;Cultellothrix lionotiformis;0.14;0.2;Monograph of the Spathidiida (Ciliophora, Haptoria): ;;;
8090887;SPECIES;Anteholosticha monilata;0.09;0.16;Monograph of the Urostyloidea (Ciliophora, Hypotricha);;;
7680285;SPECIES;Urostyla grandis;0.2;0.27;Monograph of the Urostyloidea (Ciliophora, Hypotricha);;;
4556103;SPECIES;Tylenchus arcuatus;0.403;0.403;Mulder Ecology;;;
8267652;SPECIES;Paratylenchus microdorus;0.405;0.405;Mulder Ecology;;;
2283983;SPECIES;Meloidogyne naasi;0.238;0.501;Mulder Ecology;;;
5777105;SPECIES;Paratylenchus neoamblicephalus;0.181;0.543;Mulder Ecology;;;
5777119;SPECIES;Paratylenchus similis;0.181;0.543;Mulder Ecology;;;
2284356;GENUS;Seinura;0.329;0.607;Mulder Ecology;;;
2283040;GENUS;Teratocephalus;0.176;0.755;Mulder Ecology;;;
2283952;GENUS;Ditylenchus;0.21;0.756;Mulder Ecology;;;
2283775;SPECIES;Eucephalobus striatus;0.252;0.844;Mulder Ecology;;;
2281441;SPECIES;Prismatolaimus dolichurus;0.781;0.882;Mulder Ecology;;;
2282663;GENUS;Tylencholaimus;0.254;0.886;Mulder Ecology;;;
2283711;GENUS;Panagrolaimus;0.126;0.945;Mulder Ecology;;;
4556520;SPECIES;Helicotylenchus varicaudatus;0.176;1.178;Mulder Ecology;;;
2282603;GENUS;Prodorylaimus;0.504;1.323;Mulder Ecology;;;
4281844;GENUS;Rotylenchulus;0.24;1.401;Mulder Ecology;;;
2283075;GENUS;Plectus;0.136;1.945;Mulder Ecology;;;
2282644;GENUS;Mesodorylaimus nigritulus;0.809;2.055;Mulder Ecology;;;
2282615;GENUS;Discolaimus;2.183;2.183;Mulder Ecology;;;
4554365;SPECIES;Longidorus raskii;0.611;4.498;Mulder Ecology;;;
4554383;SPECIES;Longidorus vinearum;0.611;4.498;Mulder Ecology;;;
4554435;SPECIES;Xiphinema diversicaudatum;4.062;4.523;Mulder Ecology;;;
4555966;SPECIES;Boleodorus volutus;0.36;0.36;Mulder Ecology ;;;
2282769;SPECIES;Amphidelus pusillus;0.428;0.626;Mulder Ecology ;;;
2283761;GENUS;Acrobeles;0.173;0.7;Mulder Ecology ;;;
2283740;SPECIES;Cephalobus persegnis;0.536;0.733;Mulder Ecology ;;;
2283337;SPECIES;Bastiania gracilis;0.239;1.066;Mulder Ecology ;;;
2284354;GENUS;Aphelenchoides;0.115;1.179;Mulder Ecology ;;;
4556265;SPECIES;Amplimerlinius icarus;1.325;1.879;Mulder Ecology ;;;
2282578;SPECIES;Anatonchus tridentatus;2.167;2.999;Mulder Ecology ;;;
2282747;GENUS;Aporcelaimellus;0.244;3.435;Mulder Ecology ;;;
2191143;SPECIES;Protoribates hakonensis;0.34;0.43;Oribatid mites (Acari: Oribatida) from the coastal region of Portugal. VI. Chamobates, Protozetomimus, Protoribates, Oribatula.;;;
1063891;SPECIES;Amphimallon solstitiale;14;20;Paulian (1941) Faune de France;;;
7957501;SPECIES;Dileptus microstoma;0.17;0.17;Peter V?a?ný & Wilhelm Foissner Monograph of the Dileptids (Protista, Ciliophora, Rhynchostomatia) ;;;
7410447;GENUS;Dileptus;0.116;1.2;Peter V?a?ný & Wilhelm Foissner Monograph of the Dileptids (Protista, Ciliophora, Rhynchostomatia) ;;;
9619850;GENUS;Isolaimium;3;6;PMID: 19325662;;;
