verbatimScientificName;scientificName;retainedName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species
uncultured Microvirga sp.;Microvirga Kanso & Patel, 2003;Microvirga;3220848;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga;
uncultured Methylosinus sp.;Methylosinus;Methylosinus;3221069;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Methylosinus;
uncultured Aminobacter sp.;Aminobacter Urakami & al., 1992;Aminobacter;3220999;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Aminobacter;
uncultured Mesorhizobium sp.;Mesorhizobium Jarvis & al., 1997;Mesorhizobium;3220966;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium;
uncultured Nitratireductor sp.;Nitratireductor Labbé & al., 2004;Nitratireductor;3220964;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Nitratireductor;
uncultured Rhizobium sp.;Rhizobium Targioni-Tozzetti, 1867;Rhizobium;3265271;EDITED;;DOUBTFUL;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;
uncultured Rhodobium sp.;Rhodobium Hille Ris Lambers, 1947;Rhodobium;2071998;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Rhodobium;
uncultured Pseudolabrys sp.;Pseudolabrys Kämpfer & al., 2006;Pseudolabrys;4888729;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;
uncultured Acidisphaera sp.;Acidisphaera Hiraishi & al., 2000;Acidisphaera;3221548;EDITED;;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisphaera;
uncultured Stella sp.;Stella P.Fischer, 1885;Stella;3248279;EDITED;;SYNONYM;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Stella;
Dechlorospirillum sp. SN1;Rhodospirillaceae;Rhodospirillaceae;4730;EDITED;;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;;
Mucilaginibacter sp. HME7565;Mucilaginibacter Pankratov & al., 2007;Mucilaginibacter;4886632;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;
uncultured Skermanella sp.;Skermanella Sly & Stackebrandt, 1999;Skermanella;3221640;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Skermanella;
Mucilaginibacter sp. UA-VH0703;Mucilaginibacter Pankratov & al., 2007;Mucilaginibacter;4886632;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;
uncultured Erythrobacter sp.;Erythrobacter Shiba & Simidu, 1982;Erythrobacter;3221318;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;
uncultured Mucilaginibacter sp.;Mucilaginibacter Pankratov & al., 2007;Mucilaginibacter;4886632;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;
uncultured Sphingobium sp.;Sphingobium;Sphingobium;3221329;EXACT;92;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;
Arenimonas sp. HMF3017;Arenimonas Kwon & al., 2007;Arenimonas;4889775;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;
uncultured Arenimonas sp.;Arenimonas Kwon & al., 2007;Arenimonas;4889775;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;
uncultured Bellilinea sp.;Bellilinea Yamada & al., 2007;Bellilinea;4903400;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Bellilinea;
uncultured Levilinea sp.;Levilinea Yamada & al., 2006;Levilinea;3229040;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Levilinea;
uncultured Longilinea sp.;Longilinea Yamada & al., 2007;Longilinea;4886727;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Longilinea;
uncultured Bacillus sp.;Bacillus Cohn, 1872;Bacillus;3227637;EDITED;99;ACCEPTED;GENUS;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
uncultured Saccharibacillus sp.;Saccharibacillus Rivas & al., 2008;Saccharibacillus;7715336;EXACT;94;ACCEPTED;GENUS;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Saccharibacillus;
uncultured Pasteuria sp.;Pasteuria Metchnikoff, 1888;Pasteuria;3228067;EXACT;94;ACCEPTED;GENUS;Bacteria;Firmicutes;Bacilli;Bacillales;Pasteuriaceae;Pasteuria;
uncultured Thermoflavimicrobium sp.;Thermoflavimicrobium Yoon & al., 2005;Thermoflavimicrobium;3227472;EXACT;94;ACCEPTED;GENUS;Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Thermoflavimicrobium;
uncultured Bacteroides sp.;Bacteroides Castellani & Chalmers, 1919;Bacteroides;3222857;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
uncultured Derxia sp.;Derxia Jensen & al., 1960;Derxia;3219826;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Derxia;
uncultured Burkholderia sp.;Burkholderia Yabuuchi & al., 1993;Burkholderia;3219916;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
uncultured Cupriavidus sp.;Cupriavidus Makkar & Casida, 1987;Cupriavidus;3220005;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
uncultured Acidovorax sp.;Acidovorax Willems & al., 1990;Acidovorax;3220140;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;
uncultured Comamonas sp.;Comamonas, 1985;Comamonas;3220118;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;
uncultured Curvibacter sp.;Curvibacter Ding & Yokota, 2004;Curvibacter;3220112;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;
uncultured Hydrogenophaga sp.;Hydrogenophaga Willems & al., 1989;Hydrogenophaga;3220160;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;
uncultured Polaromonas sp.;Polaromonas Irgens & al., 1996;Polaromonas;3220095;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas;
uncultured Rhodoferax sp.;Rhodoferax Hiraishi & al., 1992;Rhodoferax;3220072;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;
uncultured Herbaspirillum sp.;Herbaspirillum Baldani & al., 1986;Herbaspirillum;3219864;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;
uncultured Herminiimonas sp.;Herminiimonas Fernandes & al., 2005;Herminiimonas;3219877;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas;
uncultured Massilia sp.;Massilia La Scola & al., 2000;Massilia;3219853;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
uncultured Thiobacillus sp.;Thiobacillus Beijerinck, 1904;Thiobacillus;8408880;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Thiobacillus;
uncultured Methylobacillus sp.;Methylobacillus Yordy & Weaver, 1977;Methylobacillus;3220334;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylobacillus;
uncultured Methylophilus sp.;Methylophilus Jenkins & al., 1987;Methylophilus;3220331;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylophilus;
uncultured Nitrosospira sp.;Nitrosospira Winogradsky & Winogradsky, 1933;Nitrosospira;3220358;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
uncultured Denitratisoma sp.;Denitratisoma Fahrbach & al., 2006;Denitratisoma;3220316;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Denitratisoma;
uncultured Ferribacterium sp.;Ferribacterium Cummings & al., 2000;Ferribacterium;3220318;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Ferribacterium;
uncultured Georgfuchsia sp.;Georgfuchsia Weelink & al., 2011;Georgfuchsia;7501881;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Georgfuchsia;
uncultured Propionivibrio sp.;Propionivibrio Tanaka & al., 1991;Propionivibrio;3220297;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;
uncultured Sterolibacterium sp.;Sterolibacterium Tarlera & Denner, 2003;Sterolibacterium;3220311;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sterolibacterium;
uncultured Caldilinea sp.;Caldilinea Sekiguchi & al., 2003;Caldilinea;3229042;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea;
Flavosolibacter sp. HU1-JC5;Flavisolibacter Yoon & Im, 2007;Flavisolibacter;4893097;EDITED;79;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavisolibacter;
uncultured Flavisolibacter sp.;Flavisolibacter Yoon & Im, 2007;Flavisolibacter;4893097;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavisolibacter;
Bodomorpha sp. HFCC56;Bodomorpha Hollande, 1942;Bodomorpha;4898692;HIGHERRANK;92;DOUBTFUL;GENUS;Chromista;Cercozoa;Sarcomonadea;Glissomonadida;Sandonidae;Bodomorpha;
Bodomorpha sp. HFCC57;Bodomorpha Hollande, 1942;Bodomorpha;4898692;HIGHERRANK;92;DOUBTFUL;GENUS;Chromista;Cercozoa;Sarcomonadea;Glissomonadida;Sandonidae;Bodomorpha;
uncultured Lacibacter sp.;Lacibacter Qu & al., 2009;Lacibacter;7606454;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Lacibacter;
uncultured Niastella sp.;Niastella Weon & al., 2006;Niastella;3228891;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Niastella;
uncultured Segetibacter sp.;Segetibacter An & al., 2007;Segetibacter;4888636;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Segetibacter;
Ktedonobacter sp. enrichment culture clone CTBE CDB1001H01;Ktedonobacter Cavaletti & al., 2007;Ktedonobacter;4900657;HIGHERRANK;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter;
uncultured Haliscomenobacter sp.;Haliscomenobacter van Veen & al., 1973;Haliscomenobacter;3228793;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Haliscomenobacter;
uncultured Chloroflexus sp.;Chloroflexus Pierson & Castenholz, 1974;Chloroflexus;3229052;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus;
uncultured Roseiflexus sp.;Roseiflexus Hanada & al., 2002;Roseiflexus;3229055;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Roseiflexus;
uncultured Thermaerobacter sp.;Thermaerobacter Takai & al., 1999;Thermaerobacter;3226216;EXACT;94;ACCEPTED;GENUS;Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Thermaerobacter;
uncultured Desulfitobacterium sp.;Desulfitobacterium Utkin & al., 1994;Desulfitobacterium;3226460;EXACT;94;ACCEPTED;GENUS;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfitobacterium;
uncultured Moorella sp.;Moorella, 1994;Moorella;6562811;EDITED;99;ACCEPTED;GENUS;Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Moorella;
uncultured Thermoanaerobacter sp.;Thermoanaerobacter Wiegel & Ljungdahl, 1982;Thermoanaerobacter;3226904;EXACT;94;ACCEPTED;GENUS;Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Thermoanaerobacter;
uncultured Candidatus Nephrothrix sp.;Cytophagaceae;Cytophagaceae;3237749;EDITED;;ACCEPTED;FAMILY;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;;
uncultured Cytophaga sp.;Cytophaga Winogradsky, 1929;Cytophaga;3228397;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga;
uncultured Flexibacter sp.;Flexibacter Soriano, 1945;Flexibacter;3228773;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Flexibacter;
uncultured Ohtaekwangia sp.;Ohtaekwangia Yoon & al., 2011;Ohtaekwangia;7951037;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia;
uncultured Adhaeribacter sp.;Adhaeribacter Rickard & al., 2005;Adhaeribacter;3228858;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Adhaeribacter;
uncultured Dehalococcoides sp.;Dehalococcoides;Dehalococcoides;6533843;EDITED;99;ACCEPTED;FAMILY;Bacteria;Chloroflexi;Dehalococcoidetes;;Dehalococcoides;;
uncultured Bdellovibrio sp.;Bdellovibrio Stolp & Starr, 1963;Bdellovibrio;3220688;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;
