esp;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Candidatus Solibacter;308;65;36;25;17;12;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Capsellina;164;35;22;16;11;9;6;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cardamine;216;40;25;19;13;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Catellatospora;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Catenaria;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Catenulispora;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Caudiholosticha;168;37;23;17;11;9;6;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Caulerpa;173;38;24;18;12;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Caulobacter;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Cedrus;222;40;25;19;13;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cellulomonas;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Cellvibrio;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Cenarchaeum;310;66;37;26;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Cephalobus;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cephaloticoccus;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Cerastium;204;39;25;19;13;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Ceratophysella;107;10;7;4;4;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cercomonas;68;6;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cetraspora;272;57;30;21;14;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Chaetosphaeria;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Chamaedrilus;154;29;16;10;7;6;4;3;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cheilymenia;300;59;32;22;15;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Chitinophaga;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Chlamydomonas;174;38;24;18;12;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Chlamydomyxa;25;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Chlorella;175;38;24;18;12;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Chlorellidium;176;38;24;18;12;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Chlorococcum;177;38;24;18;12;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Chloroflexus;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Choleva;100;9;6;4;4;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Chondromyces;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Chromosera;302;61;34;23;16;11;8;6;5;4;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Chryseobacterium;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Chthoniobacter;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Chthonius;138;19;13;9;6;5;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Chytridium;260;51;27;20;14;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Cladosporium;268;55;28;20;14;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Clarkus;129;13;9;6;5;4;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Claroideoglomus;273;57;30;21;14;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Clavibacter;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Clostridium;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
Codosiga;35;4;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Coelastrella;178;38;24;18;12;10;7;5;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Colpoda;69;6;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Comamonas;315;68;38;27;18;13;9;7;6;5;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
