"";"x"
"368";"Saprospiraceae"
"369";"Scarabaeidae"
"370";"Scenedesmaceae"
"371";"Sciaridae"
"372";"Sebacinaceae"
"373";"Serpulaceae"
"374";"Siluaniidae"
"375";"Sinobacteraceae"
"376";"Sminthuridae"
"377";"Sminthurididae"
"378";"Solanaceae"
"379";"Solibacteraceae"
"380";"Solirubrobacteraceae"
"381";"Spathidiidae"
"382";"Sphaerobacteraceae"
"383";"Sphaerobolaceae"
"384";"Sphenoderiidae"
"385";"Sphingobacteriaceae"
"386";"Sphingomonadaceae"
"387";"Spirochaetaceae"
"388";"Spirofilidae"
"389";"Spizellomycetaceae"
"390";"Sporichthyaceae"
"391";"Sporidiobolaceae"
"392";"Sporormiaceae"
"393";"Staphylinidae"
"394";"Staphylococcaceae"
"395";"Stemonitidae"
"396";"Stephanoecidae"
"397";"Stereaceae"
"398";"Streptomycetaceae"
"399";"Streptosporangiaceae"
"400";"Strophariaceae"
"401";"Synchytriaceae"
"402";"Syntrophaceae"
"403";"Syntrophobacteraceae"
"404";"Taxaceae"
"405";"Tectocepheidae"
"406";"Tepidisphaeraceae"
"407";"Teratocephalidae"
"408";"Tetrahymenidae"
"409";"Tetranychidae"
"410";"Thaumatomastigidae"
"411";"Theridiidae"
"412";"Thermoactinomycetaceae"
"413";"Thermoanaerobacteraceae"
"414";"Thermoleophilaceae"
"415";"Thermomonosporaceae"
"416";"Thripidae"
"417";"Tipulidae"
"418";"Trachelostylidae"
"419";"Tribonemataceae"
"420";"Trichocercidae"
"421";"Trichocomaceae"
"422";"Trichodoridae"
"423";"Tricholomataceae"
"424";"Trichosporonaceae"
"425";"Trinematidae"
"426";"Tripylidae"
"427";"Trypanosomatidae"
"428";"Tubeufiaceae"
"429";"Tullbergiidae"
"430";"Tylenchidae"
"431";"Tylencholaimidae"
"432";"Tylenchulidae"
"433";"Uronematidae"
"434";"Uropodidae"
"435";"Urostylidae"
"436";"Urticaceae"
"437";"Vahlkampfiidae"
"438";"Vampyrellidae"
"439";"Vaucheriaceae"
"440";"Veigaiidae"
"441";"Verrucomicrobia subdivision 3"
"442";"Verrucomicrobiaceae"
"443";"Vexilliferidae"
"444";"Viridiraptoridae"
"445";"Vorticellidae"
"446";"Vulgatibacteraceae"
"447";"Xanthobacteraceae"
"448";"Xanthomonadaceae"
"449";"Xanthonemataceae"
"450";"Zoothamniidae"
