"";"retained_tax";"class";"codeFW"
"168";"Cordyceps";11;"Parasitic::Entomopath"
"169";"Corythion";16;"Pred1attach::Protist"
"170";"Craterocolla";5;"Saprotroph::Fungi"
"171";"Crocinitomix";13;"Decomposers::Bacterie"
"172";"Cryphonectria";5;"Lignotroph::Fungi"
"173";"Cryptococcus";5;"Saprotroph::Fungi"
"174";"Cultellothrix";19;"Pred2free::Protist"
"175";"Cupriavidus";13;"Decomposers::Bacterie"
"176";"Curvibacter";13;"Decomposers::Bacterie"
"177";"Cylindroiulus";3;"Saprophage::Diplopode"
"178";"Cyphellophora";5;"Saprotroph::Fungi"
"179";"Cystobacter";13;"Decomposers::Bacterie"
"180";"Cystobasidium";9;"Parasitic::Cystobasidium"
"181";"Cytophaga";13;"Decomposers::Bacterie"
"182";"Dactylis";2;"Phototroph::non-legume"
"183";"Dactylosporangium";13;"Decomposers::Bacterie"
"184";"Dechloromonas";13;"Decomposers::Bacterie"
"185";"Dechlorospirillum";13;"Decomposers::Bacterie"
"186";"Dehalococcoides";13;"Decomposers::Bacterie"
"187";"Delftia";13;"Decomposers::Bacterie"
"188";"Demequina";13;"Decomposers::Bacterie"
"189";"Denitratisoma";13;"Decomposers::Bacterie"
"190";"Derxia";13;"Decomposers::Bacterie"
"191";"Desmodesmus";18;"Phototroph::Algae"
"192";"Desulfitobacterium";13;"Decomposers::Bacterie"
"193";"Desulfotalea";13;"Decomposers::Bacterie"
"194";"Desulfovibrio";13;"Decomposers::Bacterie"
"195";"Desulfovirga";13;"Decomposers::Bacterie"
"196";"Desulfuromonas";13;"Decomposers::Bacterie"
"197";"Devosia";13;"Decomposers::Bacterie"
"198";"Diaphanoeca";14;"Pred1free::Protist"
"199";"Diaphorobacter";13;"Decomposers::Bacterie"
"200";"Dictyosporium";5;"Saprotroph::Fungi"
"201";"Dileptus";19;"Pred2free::Protist"
"202";"Dinobryon";18;"Phototroph::Algae"
"203";"Dioszegia";5;"Saprotroph::Fungi"
"204";"Diplogasteroides";20;"Pred3::Nematode"
"205";"Discolaimus";7;"Non.selective::Nematode"
"206";"Dissophora";5;"Saprotroph::Fungi"
"207";"Ditylenchus";4;"Fungivorous::Nematode"
"208";"Diversispora";9;"ACM::Glomeromyc"
"209";"Dokdonella";13;"Opportunists::Bacterie"
"210";"Dongia";13;"Decomposers::Bacterie"
"211";"Duganella";13;"Decomposers::Bacterie"
"212";"Dyadobacter";13;"Decomposers::Bacterie"
"213";"Dyella";13;"Opportunists::Bacterie"
"214";"Echinamoeba";16;"Pred1attach::Protist"
"215";"Ecumenicus";7;"Non.selective::Nematode"
"216";"Edaphobacter";13;"Miners::Bacterie"
"217";"Elusimicrobium";13;"Unknown::Bacterie"
"218";"Emticicia";13;"Decomposers::Bacterie"
"219";"Enchytraeus";3;"Saprophageous::Enchy"
"220";"Enchytronia";3;"Saprophageous::Enchy"
"221";"Endochytrium";5;"Saprotroph::Fungi"
"222";"Endogone";5;"Saprotroph::Endogone"
"223";"Entomobrya";6;"Saprofungivore::Collembole"
"224";"Entyloma";9;"Parasitic::Entyloma"
"225";"Eocercomonas";16;"Pred1attach::Protist"
"226";"Eosentomon";6;"Fungivorous::Insect"
"227";"Epipyxis";17;"Phytophage::Algae"
"228";"Epispathidium";19;"Pred2free::Protist"
"229";"Epistylis";14;"Pred1free::Protist"
"230";"Erythrobacter";13;"Decomposers::Bacterie"
"231";"Eucephalobus";12;"Bacterivorous::Nematode"
"232";"Euduboscquella";18;"Phototroph::Algae"
"233";"Euglypha";16;"Pred1attach::Protist"
"234";"Eumonhystera";12;"Bacterivorous::Nematode"
"235";"Euplotes";21;"Pred2attach::Protist"
"236";"Fallopia";2;"Phototroph::Polygonaceae"
"237";"Ferribacterium";13;"Decomposers::Bacterie"
"238";"Ferrimicrobium";13;"Decomposers::Bacterie"
"239";"Ferrithrix";13;"Decomposers::Bacterie"
"240";"Ferruginibacter";13;"Decomposers::Bacterie"
"241";"Fibrella";13;"Decomposers::Bacterie"
"242";"Fibrobacter";13;"Unknown::Bacterie"
"243";"Filobasidium";5;"Saprotroph::Fungi"
"244";"Fistulifera";18;"Phototroph::Algae"
"245";"Flavisolibacter";13;"Decomposers::Bacterie"
"246";"Flavobacterium";13;"Decomposers::Bacterie"
"247";"Flexibacter";13;"Decomposers::Bacterie"
"248";"Fluviicola";13;"Decomposers::Bacterie"
"249";"Folsomia";6;"Saprofungivore::Collembole"
"250";"Forficula";8;"Non.selective::Forficulidae"
"251";"Frankia";13;"Decomposers::Bacterie"
"252";"Fridericia";3;"Saprophageous::Enchy"
"253";"Friesea";6;"Saprofungivore::Collembole"
"254";"Frigoribacterium";13;"Decomposers::Bacterie"
"255";"Funneliformis";9;"ACM::Glomeromyc"
"256";"Fuscheria";19;"Pred2free::Protist"
"257";"Fusobacterium";13;"Unknown::Bacterie"
"258";"Gaeumannomyces";9;"Parasitic::Gaeumannomyces"
"259";"Gaiella";13;"Decomposers::Bacterie"
"260";"Geastrum";5;"Saprotroph::Fungi"
"261";"Gemmata";13;"Miners::Bacterie"
"262";"Gemmatimonas";13;"Miners::Bacterie"
"263";"Geoalkalibacter";13;"Decomposers::Bacterie"
"264";"Geobacter";13;"Decomposers::Bacterie"
"265";"Geodermatophilus";13;"Decomposers::Bacterie"
"266";"Georgfuchsia";13;"Decomposers::Bacterie"
"267";"Geothermobacter";13;"Decomposers::Bacterie"
"268";"Geothrix";13;"Miners::Bacterie"
"269";"Gliricola";3;"Parasitic::Gliricola"
"270";"Glomus";9;"ACM::Glomeromyc"
"271";"Gongronella";5;"Saprotroph::Fungi"
"272";"Gonostomum";21;"Pred2attach::Protist"
"273";"Granulicella";13;"Miners::Bacterie"
"274";"Guepiniopsis";5;"Lignotroph::Fungi"
"275";"Haliangium";13;"Decomposers::Bacterie"
"276";"Haliea";13;"Opportunists::Bacterie"
"277";"Haliscomenobacter";13;"Decomposers::Bacterie"
"278";"Halteromyces";5;"Saprotroph::Fungi"
"279";"Hantzschia";18;"Phototroph::Algae"
"280";"Helianthus";2;"Phototroph::Asteraceae"
"281";"Helicotylenchus";1;"Parasitic_p::Nematode"
"282";"Hemiamphisiella";19;"Pred2free::Protist"
"283";"Henlea";3;"Saprophageous::Enchy"
"284";"Herbaspirillum";13;"Decomposers::Bacterie"
"285";"Herminiimonas";13;"Decomposers::Bacterie"
"286";"Herpetomonas";9;"Parasitic::Trypanosomatidae"
"287";"Hesperelaea";2;"Phototroph::non-legume"
"288";"Heterococcus";18;"Phototroph::Algae"
"289";"Heterodera";1;"Parasitic_p::Nematode"
"290";"Heteromita";16;"Pred1attach::Protist"
"291";"Heterophrys";16;"Pred1attach::Protist"
"292";"Hibberdia";18;"Phototroph::Algae"
"293";"Histiostoma";6;"Fungivorous::Astigmata"
"294";"Hodophilus";5;"Saprotroph::Fungi"
"295";"Holcus";2;"Phototroph::Poaceae"
"296";"Holophaga";13;"Miners::Bacterie"
"297";"Holwaya";5;"Saprotroph::Fungi"
"298";"Homalogastra";14;"Pred1free::Protist"
"299";"Humibacter";13;"Decomposers::Bacterie"
"300";"Hyalorbilia";5;"Saprotroph::Fungi"
"301";"Hydrocarboniphaga";13;"Opportunists::Bacterie"
"302";"Hydrogenophaga";13;"Decomposers::Bacterie"
"303";"Hygrocybe";5;"Saprotroph::Fungi"
"304";"Hymenochaetopsis";5;"Lignotroph::Fungi"
"305";"Hymenoscyphus";5;"Saprotroph::Fungi"
"306";"Hyphochytrium";9;"Hyperparasitoid::Hyphochytrium"
"307";"Hyphodiscus";5;"Saprotroph::Fungi"
"308";"Hyphodontia";5;"Saprotroph::Fungi"
"309";"Hyphomicrobium";13;"Decomposers::Bacterie"
"310";"Iamia";13;"Decomposers::Bacterie"
"311";"Ignavibacterium";13;"Unknown::Bacterie"
"312";"Ilumatobacter";13;"Decomposers::Bacterie"
"313";"Iodophanus";5;"Coprotroph::Ascomycota"
"314";"Isolaimium";12;"Bacterivorous::Nematode"
"315";"Isosphaera";13;"Miners::Bacterie"
"316";"Isotoma";6;"Saprofungivore::Collembole"
"317";"Isotomiella";6;"Saprofungivore::Collembole"
"318";"Itersonilia";1;"Parasitic::Itersonilia"
"319";"Ixiolirion";2;"Phototroph::non-legume"
"320";"Jaagiella";18;"Phototroph::Algae"
"321";"Janibacter";13;"Decomposers::Bacterie"
"322";"Janthinobacterium";13;"Decomposers::Bacterie"
"323";"Jatrophihabitans";13;"Decomposers::Bacterie"
"324";"Juncus";2;"Phototroph::non-legume"
"325";"Kangiella";13;"Opportunists::Bacterie"
"326";"Kineococcus";13;"Decomposers::Bacterie"
"327";"Kineosporia";13;"Decomposers::Bacterie"
"328";"Klebsormidium";18;"Phototroph::Algae"
"329";"Kofleria";13;"Decomposers::Bacterie"
"330";"Kribbella";13;"Decomposers::Bacterie"
"331";"Ktedonobacter";13;"Decomposers::Bacterie"
"332";"Kutzneria";13;"Decomposers::Bacterie"
"333";"Kuzuhaea";5;"Saprotoph::Zoopagales"
"334";"Labrys";13;"Decomposers::Bacterie"
"335";"Lacibacter";13;"Decomposers::Bacterie"
"336";"Lacrymaria";14;"Pred1free::Protist"
"337";"Lamproderma";16;"Pred1attach::Protist"
"338";"Legionella";13;"Opportunists::Bacterie"
"339";"Leifsonia";13;"Decomposers::Bacterie"
"340";"Lentzea";13;"Decomposers::Bacterie"
"341";"Lepidocyrtus";6;"Saprofungivore::Collembole"
"342";"Leptomyxa";15;"Bacterivorous::Protist"
"343";"Leptopharynx";14;"Pred1free::Protist"
"344";"Leptosphaeria";9;"Parasitic::Leptosphaeria"
"345";"Levilinea";13;"Decomposers::Bacterie"
"346";"Limonomyces";9;"Parasitic:Limonomyces"
"347";"Linum";2;"Phototroph::non-legume"
"348";"Liochthonius";3;"Saprophage::Oribate"
"349";"Lishizhenia";13;"Decomposers::Bacterie"
"350";"Lithobius";11;"Pred4::Chilopode"
"351";"Lonchoptera";6;"Fungivorous::Insect"
"352";"Longidorus";1;"Parasitic_p::Nematode"
"353";"Longilinea";13;"Decomposers::Bacterie"
"354";"Luedemannella";13;"Decomposers::Bacterie"
"355";"Lumbricus";3;"Saprogeophageous::Lumb"
"356";"Luteimonas";13;"Opportunists::Bacterie"
"357";"Luteolibacter";13;"Decomposers::Bacterie"
"358";"Luticola";18;"Phototroph::Algae"
