"";"retained_tax";"class";"codeFW"
"323";"Poaceae";18;"Phototroph::Poaceae"
"324";"Poduridae";2;"Saprofungivore::Collembole"
"325";"Polyangiaceae";5;"Decomposers::Bacterie"
"326";"Polydesmidae";16;"Saprophage::Diplopode"
"327";"Polygonaceae";18;"Phototroph::Polygonaceae"
"328";"Pratylenchidae";17;"Parasitic_p::Nematode"
"329";"Prismatolaimidae";6;"Bacterivorous::Nematode"
"330";"Propionibacteriaceae";5;"Decomposers::Bacterie"
"331";"Prorodontidae";4;"Pred1free::Protist"
"332";"Protomycetaceae";16;"Parasitic::Protomyces"
"333";"Protoribatidae";16;"Saprophage::Oribate"
"334";"Psathyrellaceae";13;"Lignotroph::Fungi"
"335";"Pseudomonadaceae";5;"Opportunists::Bacterie"
"336";"Pseudonocardiaceae";5;"Decomposers::Bacterie"
"337";"Psoraceae";13;"Saprotroph::Fungi"
"338";"Pterulaceae";13;"Saprotroph::Fungi"
"339";"Pythiaceae";17;"Pathogen::Pythium"
"340";"Pyxidiophoraceae";13;"Saprotroph::Fungi"
"341";"Qudsianematidae";10;"Non.selective::Nematode"
"342";"Ranunculaceae";18;"Phototroph::Ranunculales"
"343";"Resource::Decaying_wood";22;"Resource::Decaying_wood"
"344";"Resource::Dung";23;"Resource::Dung"
"345";"Resource::Litter";23;"Resource::Litter"
"346";"Resource::MOS";23;"Resource::MOS"
"347";"Rhabditidae";6;"Bacterivorous::Nematode"
"348";"Rhabdolaimidae";6;"Bacterivorous::Nematode"
"349";"Rhagidiidae";1;"Pred3::Mesostigmata"
"350";"Rhizobiaceae";5;"Decomposers::Bacterie"
"351";"Rhizophlyctidaceae";13;"Saprotroph::Fungi"
"352";"Rhizophydiaceae";13;"Saprotroph::Fungi"
"353";"Rhodanobacteraceae";5;"Opportunists::Bacterie"
"354";"Rhodobacteraceae";5;"Decomposers::Bacterie"
"355";"Rhodobiaceae";5;"Decomposers::Bacterie"
"356";"Rhodocyclaceae";5;"Decomposers::Bacterie"
"357";"Rhodospirillaceae";5;"Decomposers::Bacterie"
"358";"Rhodothermaceae";5;"Decomposers::Bacterie"
"359";"Roseiarcaceae";5;"Decomposers::Bacterie"
"360";"Roseiflexaceae";5;"Decomposers::Bacterie"
"361";"Rubrobacteraceae";5;"Decomposers::Bacterie"
"362";"Saccharomycetaceae";13;"Saprotroph::Fungi"
"363";"Salicaceae";18;"Phototroph::Salicaceae"
"364";"Salpingoecidae";4;"Pred1free::Protist"
"365";"Sanguibacteraceae";5;"Decomposers::Bacterie"
"366";"Sapindaceae";18;"Phototroph::non-legume"
"367";"Saprolegniaceae";16;"Pathogen::Aphanomyces"
"368";"Saprospiraceae";5;"Decomposers::Bacterie"
"369";"Scarabaeidae";16;"Coprophage::Insect"
