scientificName;originalscientificName;phylum_name;class_name;order_name;family_name;genus_name
Candidatus Koribacter versatilis Ellin345;Candidatus Koribacter versatilis Ellin345;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter
Candidatus Koribacter;uncultured Candidatus Koribacter sp.;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter
Edaphobacter;uncultured Edaphobacter sp.;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Edaphobacter
Terriglobus;uncultured Terriglobus sp.;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus
Gemmatimonas;uncultured Gemmatimonas sp.;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas
Holophaga;uncultured Holophaga sp.;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga
Gemmata;uncultured Gemmata sp.;Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Gemmata
Zavarzinella;uncultured Zavarzinella sp.;Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Zavarzinella
Isosphaera;uncultured Isosphaera sp.;Planctomycetes;Planctomycetia;Planctomycetales;Isosphaeraceae;Isosphaera
Singulisphaera;uncultured Singulisphaera sp.;Planctomycetes;Planctomycetia;Planctomycetales;Isosphaeraceae;Singulisphaera
Pirellula;uncultured Pirellula sp.;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Pirellula
Planctomyces;uncultured Planctomyces sp.;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Planctomyces
Rhodopirellula;uncultured Rhodopirellula sp.;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Rhodopirellula
Candidatus Solibacter usitatus Ellin6076;Candidatus Solibacter usitatus Ellin6076;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter
environmental samples;environmental samples;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter
Candidatus Solibacter;uncultured Candidatus Solibacter sp.;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter
Solibacter;uncultured Solibacter sp.;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter
Dorylaimina;Dorylaimina;Nematoda;Enoplea;Dorylaimida;NA;NA
Dorylaimoidea;Dorylaimoidea;Nematoda;Enoplea;Dorylaimida;NA;NA
Pungentinae;Pungentinae;Nematoda;Enoplea;Dorylaimida;Nordiidae;NA
Dorylaimia;Dorylaimia;Nematoda;Enoplea;NA;NA;NA
