scientificName;phylum_name;class_name;order_name;family_name;genus_name;broad
uncultured Actinoallomurus sp.;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinoallomurus;bactérie
Actinomadura sp. 1g12710;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura;bactérie
uncultured Caulobacter sp.;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;bactérie
Phenylobacterium sp. B6.10-61;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;bactérie
Phenylobacterium sp. enrichment culture clone LplF-80;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;bactérie
Phenylobacterium sp. URHA0004;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;bactérie
uncultured Phenylobacterium sp.;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;bactérie
uncultured Woodsholea sp.;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Woodsholea;bactérie
Rhizomicrobium sp. URHE0053;Proteobacteria;Alphaproteobacteria;Micropepsales;Micropepsaceae;Rhizomicrobium;bactérie
uncultured Rhizomicrobium sp.;Proteobacteria;Alphaproteobacteria;Micropepsales;Micropepsaceae;Rhizomicrobium;bactérie
uncultured Methylocapsa sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocapsa;bactérie
uncultured Methylocella sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocella;bactérie
Bradyrhizobium sp. Shinshu-th2;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;bactérie
Bradyrhizobium sp. URHC0015;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;bactérie
uncultured Bradyrhizobium sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;bactérie
uncultured Rhodopseudomonas sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Rhodopseudomonas;bactérie
Mycoplana sp. HP12Q;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Mycoplana;bactérie
uncultured Blastochloris sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Blastochloris;bactérie
Devosia sp. P-37;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia;bactérie
uncultured Hyphomicrobium sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;bactérie
uncultured Pedomicrobium sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium;bactérie
uncultured Prosthecomicrobium sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Prosthecomicrobium;bactérie
uncultured Rhodomicrobium sp.;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodomicrobium;bactérie
