retained_tax;class
Eocercomonas sp. HFCC 908;5
Eocercomonas sp. HFCC 909;5
Epipyxis pulchra;5
Euglypha;5
Heterophrys sp. Oxford1;5
Homalogastra setosa;5
Lamproderma sp. SAPA:100012;5
Leptomyxa sp. AS-2016b;5
Mallomonas;5
Maryna ovata;5
Massisteria marina;5
Meseres corlissi;5
Mykophagophrys terricola;5
Nolandella;5
Obertrumia georgiana;5
Ochromonas;5
Ochromonas sp. CCMP2761;5
Ochromonas vasocystis;5
Orciraptor agilis;5
Paracercomonas astra;5
Paracercomonas compacta;5
Paracercomonas paralaciniaegerens;5
Paracercomonas sp. HFCC 913;5
Paracercomonas sp. HFCC 918;5
Paraphysomonas;5
Paraphysomonas sp. 22 JMS-2012;5
Paulinella;5
Peregrinia clavideferens;5
Picea;5
Pinus;5
Platyophrya;5
Platyophrya bromelicola;5
Poterioochromonas;5
Poterioochromonas malhamensis;5
Poterioochromonas stipitata;5
Prorodon;5
Protaspis;5
Protaspis obliqua;5
Pseudaphelenchus;5
Pseudochilodonopsis sp. 3 WS-2013;5
Pseudocyrtolophosis alpestris;5
Pseudoplatynematum denticulatum;5
Pseudoplatyophrya nana;5
Pseudovorticella punctata;5
Pseudovorticella sp. 5 PS-2016;5
Rhogostoma;5
Rhogostoma schuessleri;5
Rhogostoma sp. CCAP 1966/4;5
Rumex;5
Saccamoeba;5
Siluania monomastiga;5
Sphaeroeca;5
Sphaeroeca volvox;5
Sphenoderia;5
Spumella lacusvadosi;5
Spumella sp. 37G;5
Spumella sp. CH3;5
Spumella sp. SpiG;5
Spumella vulgaris;5
Tetrahymena;5
Thaumatomastix;5
Trichocerca rattus;5
Trinema;5
Trinema enchelys;5
Vermamoeba vermiformis;5
Vexillifera;5
Vorticella campanula;5
Vorticella sp. PPS-2011b;5
Zoothamnium;5
Absidia glauca;6
Acrospermum;6
Acrospermum gramineum;6
Actinochloris sp. BCP-LG3VF20;6
Allovahlkampfia;6
Apiotrichum;6
Apiotrichum porosum;6
Archaeorhizomyces;6
Archaeorhizomyces borealis;6
Archaeorhizomyces finlayi;6
Articulospora proliferata;6
Ascobolus;6
Ascobolus stercorarius;6
Asterostroma andinum;6
Auxarthron;6
Basidiobolus;6
Bicosoeca petiolata;6
Bisporella citrina;6
Blepharisma;6
Blepharisma hyalinum;6
Bodo;6
Bodomorpha sp. HFCC57;6
Bolbitius vitellinus;6
Botryochloris sp. SiM-2003;6
Boudiera acanthospora;6
Brachyphoris oviparasitica;6
