;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36
11;0,992113061;0,000827702;0,000154574;0,000226194;0,001007371;0,001582079;0,000647932;0,000295326;0,001065966;0,000827702;0,000292007;0,000575022;0,00045131;0,000637448;0,000226872;0,00033364;8,27E-05;0,000452828;0,000792927;0,001048718;0,003009662;0,002971855;0,001548132;0,000310256;0,00069569;0,00017552;8,88E-06;0,000298131;0,002955652;0,000291258;0,000681712;0,003031266;0,000832049;0,001094711;0,001071715;0,000840742
12;0,001583659;0,000108702;0,00015908;0,000458485;0,000642654;0,000111346;3,55E-05;0,000141835;5,83E-05;0,000108702;0,000370029;0,00040785;0,000544584;4,31E-06;0,000141669;3,71E-05;1,13E-05;0,000747022;5,36E-06;7,09E-06;0,000180477;6,81E-05;1,05E-05;0,000793685;0,000177393;0,000178583;6,00E-08;8,94E-05;2,00E-05;6,89E-05;0,000135852;0,000244681;0,000121621;0,000143769;7,54E-05;0,000147457
13;0,989000811;0,000852109;0,000194031;0,000340691;0,001165418;0,001604482;0,000654557;0,000329949;0,001076865;0,000852109;0,000370302;0,000661308;0,000639039;0,000636276;0,000261695;0,000341798;8,53E-05;0,000639083;0,000791469;0,001046789;0,003044397;0,002978469;0,001545284;0,00050875;0,000737838;0,000219808;8,86E-06;0,000319547;0,002950214;0,000307561;0,000713463;0,00308207;0,000859689;0,001126992;0,00108689;0,000874849
14;0,978985861;0,000930649;0,000321002;0,000709133;0,001673997;0,001676571;0,000675876;0,000441362;0,001111939;0,000930649;0,000666569;0,000938971;0,001022212;0,000783034;0,000373754;0,000368049;9,34E-05;0,001238433;0,000786775;0,001040581;0,00315617;0,002999752;0,001536119;0,001147485;0,000873466;0,000362323;8,81E-06;0,000388464;0,002932715;0,000360026;0,000815635;0,003245552;0,000948633;0,001230867;0,001135724;0,000984601
15;0,00089344;0,001775661;0,000283748;0,992615172;0,00198511;0,003427273;0,001407117;0,000598023;0,002314963;0,001775661;0,00048189;0,001138516;0,987070748;0,001394896;0,00047418;0,00071806;0,000177299;0,000734349;0,001735122;0,002294857;0,006530665;0,006486591;0,003387698;0,000405943;0,001462791;0,000322907;1,94E-05;0,000622265;0,006467703;0,000614252;0,001446496;0,006555849;0,001780728;0,002348473;0,002321665;0,001790863
16;0,00111326;7,64E-05;0,000111828;0,0003223;0,000451765;7,83E-05;2,49E-05;9,97E-05;4,10E-05;7,64E-05;0,000260118;0,000246892;0,000382825;3,03E-06;9,96E-05;2,89E-05;7,92E-06;0,000525132;3,77E-06;4,98E-06;0,00012687;4,79E-05;7,35E-06;0,000557935;0,000124701;0,000125538;4,22E-08;6,28E-05;1,40E-05;4,85E-05;9,55E-05;0,000172003;8,55E-05;0,000101065;5,30E-05;0,000103657
17;0,000352213;0,024257497;9,14E-05;0,000124712;0,000611635;0,000996656;0,000408582;0,000181181;0,000672192;0,024257497;0,000161196;0,000349758;0,000263704;0,0004032;0,000137871;0,000209633;5,32E-05;0,979545954;0,000501544;0,000663338;0,001897243;0,001877834;0,000979228;0,000164437;0,02428745;0,000103892;5,62E-06;0,024315141;0,001869516;0,000181536;0,000425924;0,001908334;0,000521628;0,000686949;0,000675144;0,000526091
18;0,000698378;4,79E-05;7,02E-05;0,000202188;0,000283404;4,91E-05;1,56E-05;6,25E-05;2,57E-05;4,79E-05;0,000163179;0,000154882;0,000240156;1,90E-06;6,25E-05;1,64E-05;4,97E-06;0,000351102;2,36E-06;3,12E-06;7,96E-05;3,00E-05;4,61E-06;0,000350007;7,82E-05;7,88E-05;2,65E-08;3,94E-05;8,81E-06;3,04E-05;5,99E-05;0,000107902;5,36E-05;6,34E-05;3,33E-05;6,50E-05
19;0,00277526;0,000397036;0,00030215;0,000812952;0,001321694;0,000600475;0,000229263;0,000310966;0,00037718;0,000397036;0,000681358;0,962634246;0,001013817;0,000175311;0,000292627;0,000149063;4,04E-05;0,001346806;0,000286168;0,000288418;0,001090818;0,000896248;0,000425766;0,001385843;0,000475048;0,000339721;2,44E-06;0,000225491;0,00081286;0,000190118;0,000403111;0,001202001;0,000419407;0,000525117;0,000406767;0,000464149
20;0,003957144;0,002349669;0,000632659;0,001241067;0,003572613;0,926087524;0,571059131;0,000982314;0,939495815;0,002349669;0,001255686;0,002017476;0,001959092;0,001698655;0,000800315;0,000937799;0,023782223;0,002245904;0,00211297;0,004063061;0,888114577;0,887857241;0,004125415;0,001932511;0,002095085;0,965048032;2,37E-05;0,00091646;0,007876121;0,960652423;0,95081514;0,888261627;0,946570434;0,939691474;0,939534946;0,946629608
21;0,010226947;0,000729473;0,001030415;0,002962069;0,004176146;0,00077301;0,000251254;0,000924249;0,000413358;0,000729473;0,00239395;0,002283148;0,003524728;5,01E-05;0,000920777;0,000250986;7,55E-05;0,004829133;6,24E-05;8,25E-05;0,007315469;0,000543328;0,000121782;0,005124788;0,00116742;0,001156817;6,99E-07;0,000586231;0,000232502;0,000454375;0,000899274;0,828271444;0,00081286;0,000964794;0,000523645;0,000979635
