;consumer_gbif_key;consumer_rank;consumer_name;interaction_type;resource_name;resource_gbif_key;resource_rank;reference;remark
84;7405898;SPECIES;Amphisiella vitiphila;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
85;8181547;SPECIES;Apoamphisiella tihanyiensis;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
86;7868482;SPECIES;Australocirrus octonucleatus;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
87;8307655;SPECIES;Australocirrus oscitans;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
88;7644213;SPECIES;Australothrix alwinae;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
89;7520435;SPECIES;Australothrix australis;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
90;8376435;SPECIES;Australothrix steineri;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
91;8280112;SPECIES;Bakuella edaphoni;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
92;7976171;SPECIES;Bakuella pampinaria;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
93;7932878;SPECIES;Birojimia muscorum;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
94;8076891;SPECIES;Birojimia terricola;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
95;7771896;SPECIES;Blepharisma americanum;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
96;8118209;SPECIES;Bresslaua vorax;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
97;7348345;SPECIES;Bresslaua insidiatrix;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
98;8006704;SPECIES;Bresslauides australis australis;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
99;8022899;SPECIES;Bryometopus atypicus;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
100;8222210;SPECIES;Bryometopus hawaiiensis;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
101;7589411;SPECIES;Bryometopus triquetrus;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
102;8312067;SPECIES;Bursaria truncatella;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
103;7635899;SPECIES;Colpoda atra;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
104;7754454;SPECIES;Colpoda colpidiopsis;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
105;7364894;SPECIES;Colpoda cucullus;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
106;7559248;SPECIES;Colpoda inflata;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
107;7415565;SPECIES;Colpoda magna;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
108;8225326;SPECIES;Condylostoma terricola;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
109;8380259;SPECIES;Coriplites terricola;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
110;7759386;SPECIES;Cyrtobymena muscorum;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
111;7893724;SPECIES;Cyrtohymena candens;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
112;7893724;SPECIES;Cyrtohymena candens;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
113;7640810;SPECIES;Cyrtohymena primicirrata;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
114;7968774;SPECIES;Cyrtohymena tetracirrata;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
115;7646652;SPECIES;Dileptus americanus;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
116;7907352;SPECIES;Dileptus conspicuus;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
117;7689024;SPECIES;Dileptus margaritifer;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
118;7542108;SPECIES;Drepanomonas revoluta;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
119;8367055;SPECIES;Gonostomum affine;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
120;7846057;SPECIES;Gonostomum kuehnelti;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
121;7620672;GENUS;Halteria grandin;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
122;8256548;SPECIES;Hemiamphisiella granulifera;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
123;8227189;SPECIES;Hemiamphisiella quadrinucleata;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
124;7477764;SPECIES;Hemiamphisiella terricola;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
125;7515415;SPECIES;Hemisincirra wenzeli;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
126;7770058;SPECIES;Holosticha bergeri;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
127;7876308;SPECIES;Holosticha distyla;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
128;7406837;SPECIES;Holosticha manca;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
129;7879294;SPECIES;Holosticha multistilata;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
130;7858582;SPECIES;Holosticha stueberi;eats;Apusozoa;103062177;KINGDOM;Foissner 1998;
